,0
0,"""Changing your interpretation of your past is often just as good as changing your past."" - @naval"
1,Thanks for giving credit 
2,"""A contrarian isn’t one who always objects - that’s a conformist of a different sort. A contrarian reasons independently, from the ground up, and resists pressure to conform."" - @naval"
3,"""Work as hard as you can. Even though who you work with and what you work on are more important than how hard you work."" - @naval"
4,"""Involve groups in the creative process and you inevitably end up with a pile of pleasing, socially-acceptable lies. Contrast blockbuster movies with the great books."" - @naval"
5,"""If you’re more passionate about founding a business than the business itself, you can fall into a ten year trap. Better to stay emotionally unattached and select the best opportunity that arises."" - @naval"
6,"""You will get rich by giving society what it wants but does not yet know how to get. At scale."" - @naval"
7,"""If friends spoke to us like politicians and actors, reading aloud scripts written by others, we wouldn't take them seriously as individuals."" - @naval"
8,"""A good conference is a vacation that you take with really smart friends."" - @naval"
9,"""Your goal in life is to find out the people who need you the most, to find out the business that needs you the most, to find the project and the art that needs you the most. There is something out there just for you."" - @naval"
10,"""A rational person can find peace by cultivating indifference to things outside of their control."" - @naval"
11,"""Building a following on Twitter is building a castle out of sand, as the implacable tide shifts in and out. Invest in the free and open web - blogs, podcasts, newsletters."" - @naval"
12,"""Knowledge is either from direct experience or from verifiable, falsifiable science. There is knowledge that is transmitted but not verifiable / falsifiable, and this knowledge is indistinguishable from that which is false."" - @naval"
13,"""Politics is the exercise of power without merit."" - @naval"
14,"""If you’re more passionate about founding a business than the business itself, you can fall into a ten year trap. Better to stay emotionally unattached and select the best opportunity that arises."" - @naval"
15,"""Creativity starts with an empty calendar and ends with a full one."" - @naval"
16,"""A rational person can find peace by cultivating indifference to things outside of their control."" - @naval"
17,"""We prefer to see “winners” as “naturally talented” rather than “hard working.” Because if it were reversed, what would that imply about us?"" - @naval"
18,"""Code, money, guns, and encryption are all becoming speech. The first amendment is the last word on freedom."" - @naval"
19,"""Technology democratizes consumption but consolidates production. The best person in the world for anything, gets to do it for everyone."" - @naval"
20,"""It's never been easier to start a company. It's never been harder to build one."" - @naval"
21,"""Signaling virtue is a vice."" - @naval"
22,"""Your goal in life is to find out the people who need you the most, to find out the business that needs you the most, to find the project and the art that needs you the most. There is something out there just for you."" - @naval"
23,"""Don’t do things that you know are morally wrong. Not because someone is watching, but because you are. Self-esteem is just the reputation that you have with yourself. You’ll always know."" - @naval"
24,"""Specific knowledge is found by pursuing your genuine curiosity and passion rather than whatever is hot right now."" - @naval"
25,"""Read what you love until you love to read."" - @naval"
26,"""The biggest cost of politics is that it can cause you to have comforting, false, and ultimately expensive beliefs about business and science."" - @naval"
27,"""Twitter is a microphone. It makes instant celebrities of each of us, with retweet fame and follower fans. Celebrities may be the unhappiest people in the world."" - @naval"
28,"""Technology is the application of knowledge to control the natural world. It’s the greatest driver of both human prosperity and our capacity for self-annihilation."" - @naval"
29,"""Building a following on Twitter is building a castle out of sand, as the implacable tide shifts in and out. Invest in the free and open web - blogs, podcasts, newsletters."" - @naval"
30,"""When building habits, choose consistency over content. The best book is the one you can’t put down. The best exercise is the one you enjoy doing every day. The best health food is the one you find tasty. The best work is the work you’d do for free."" - @naval"
31,"""A busy mind accelerates the passage of subjective time."" - @naval"
32,"""The best way, perhaps the only way, to change others is to become an example."" - @naval"
33,"""In an age of infinite leverage, judgement is the most important skill."" - @naval"
34,"""If you’re more passionate about founding a business than the business itself, you can fall into a ten year trap. Better to stay emotionally unattached and select the best opportunity that arises."" - @naval"
35,"""Judgement requires experience, but can be built faster by learning foundational skills."" - @naval"
36,"""True religion is rejecting all teachings and thinking for yourself."" - @naval"
37,"""The first rule of handling conflict is don't hang around with people who are constantly engaging in conflict."" - @naval"
38,"""Signaling virtue is a vice."" - @naval"
39, 
40,"""The Efficient Markets Hypothesis fails because humans are herd animals, not independent rational actors. Thus the best investors tend to be antisocial and contrarian."" - @naval"
41,"""Humans aren’t evolved to worry about everything happening outside of their immediate environment."" - @naval"
42,"""The selfish reason to be ethical is that it attracts the other ethical people in the network."" - @naval"
43,"""Relax. You’ll live longer *and* perform better."" - @naval"
44,"""Self-image is the prison. Other people are the guards."" - @naval"
45,"""Trade money for time, not time for money. You’re going to run out of time first."" - @naval"
46,"""Doctors won’t make you healthy.Nutritionists won’t make you slim.Teachers won’t make you smart.Gurus won’t make you calm.Mentors won’t make you rich.Trainers won’t make you fit.Ultimately, you have to take responsibility. Save yourself."" - @naval"
47,"""Morality and ethics automatically emerge when we realize the long term consequences of our actions."" - @naval"
48,"""Involve groups in the creative process and you inevitably end up with a pile of pleasing, socially-acceptable lies. Contrast blockbuster movies with the great books."" - @naval"
49,"""Don’t do things that you know are morally wrong. Not because someone is watching, but because you are. Self-esteem is just the reputation that you have with yourself. You’ll always know."" - @naval"
50,"""People who live far below their means enjoy a freedom that people busy upgrading their lifestyles can’t fathom."" - @naval"
51,"""If you’re more passionate about founding a business than the business itself, you can fall into a ten year trap. Better to stay emotionally unattached and select the best opportunity that arises."" - @naval"
52,"""There is no skill called “business.” Avoid business magazines and business classes."" - @naval"
53,"""It is the mark of a charalatan to explain a simple concept in a complex way."" - @naval"
54,"""People who try to look smart by pointing out obvious exceptions actually signal the opposite."" - @naval"
55,"""VCs and universities are both in the business of hunting black swans. They filter the applicant funnel, brand selected candidates, and harvest the winners rep to further enlarge the funnel."" - @naval"
56,"""The Efficient Markets Hypothesis fails because humans are herd animals, not independent rational actors. Thus the best investors tend to be antisocial and contrarian."" - @naval"
57,"""Choose the non-emotional response to any given situation and see how much easier your life becomes."" - @naval"
58,"""Once you’ve truly controlled your own fate, for better or for worse, you’ll never let anyone else tell you what to do."" - @naval"
59,"""Twitter is a way to broadcast messages to hundreds of millions of people to find the few dozen that you actually want to talk to."" - @naval"
60,"""No meetings before 11am. No meetings when emails or calls will do. Don’t schedule calls, text coordinate them on the fly when possible. Cram all meetings into two days a week. 1-on-1s are usually 30-minute walking meetings.(Meetings are the death of productivity)"" - @naval"
61,"""Read what you love until you love to read."" - @naval"
62,"""There is no skill called “business.” Avoid business magazines and business classes."" - @naval"
63,"""You can have the mind or you can have the moment."" - @naval"
64,"""People who try to look smart by pointing out obvious exceptions actually signal the opposite."" - @naval"
65,"""Networking is overrated. Become first and foremost a person of value and the network will be available whenever you need it."" - @naval"
66,"""The internet is the best school ever created. The best peers are on the Internet. The best books are on the Internet. The best teachers are on the Internet. The tools for learning are abundant. It’s the desire to learn that’s scarce."" - @naval"
67,"""The selfish reason to be ethical is that it attracts the other ethical people in the network."" - @naval"
68,"""Nothing like a health problem to turn up the contrast dial on the rest of life."" - @naval"
69,"""The question “why do you want this job?” is also a sales tactic. The candidate will be forced to articulate good reasons out of politeness - and the desire for internal consistency will make them believe these reasons."" - @naval"
70,"""Your goal in life is to find out the people who need you the most, to find out the business that needs you the most, to find the project and the art that needs you the most. There is something out there just for you."" - @naval"
71,"""True reasoning is only possible when there is no motivation."" - @naval"
72,"""The reality is life is a single-player game. You’re born alone. You’re going to die alone. All of your interpretations are alone. All your memories are alone. You’re gone in three generations and nobody cares. Before you showed up, nobody cared. It’s all single-player."" - @naval"
73,"""Become the best in the world at what you do. Keep redefining what you do until this is true."" - @naval"
74,"""Blockchains are now sucking in top-tier Silicon Valley tech talent faster than any boom since the Internet."" - @naval"
75,"""The heart decides, the head rationalizes."" - @naval"
76,"""A great goal in life would be to not have to be in a given place at a given time... Being accountable for your output rather than your input. I would love to be paid purely for my judgment."" - @naval"
77,"""Read what you love until you love to read."" - @naval"
78,"""Knowing how little you matter is very important for your mental health and your happiness"" - @naval"
79,"""If you’re more passionate about founding a business than the business itself, you can fall into a ten year trap. Better to stay emotionally unattached and select the best opportunity that arises."" - @naval"
80,"""Time is the ultimate currency and I should have been more tight fisted with it."" - @naval"
81,"""A taste of freedom can make you unemployable."" - @naval"
82,"""Morality and ethics automatically emerge when we realize the long term consequences of our actions."" - @naval"
83,"""Eventually, every game theory textbook will have a chapter on public blockchains."" - @naval"
84,"""Persistent, non-specific anxiety is the result of wanting so much, talking so much, and doing so much that you lose touch with the quiet joys of solitude."" - @naval"
85,"""Code, money, guns, and encryption are all becoming speech. The first amendment is the last word on freedom."" - @naval"
86,"""Learn to sell. Learn to build. If you can do both, you will be unstoppable."" - @naval"
87,"""If you can't decide, the answer is No."" - @naval"
88,"""Time is the ultimate currency and I should have been more tight fisted with it."" - @naval"
89,"""If you can’t delete an email without flinching or responding, you won’t scale."" - @naval"
90,"""If you create intersections, you’re going to have collisions."" - @naval"
91,"""Code, money, guns, and encryption are all becoming speech. The first amendment is the last word on freedom."" - @naval"
92,"""The question “why do you want this job?” is also a sales tactic. The candidate will be forced to articulate good reasons out of politeness - and the desire for internal consistency will make them believe these reasons."" - @naval"
93,"""A good conference is a vacation that you take with really smart friends."" - @naval"
94,"""Everybody wants to hire the best. Nobody wants to pay them the best.."" - @naval"
95,"""Don't write to make money, write to build relationships with like minded people that you haven't yet met."" - @naval"
96,"""Before you can lie to another, you must first lie to yourself."" - @naval"
97,"""Politics is the exercise of power without merit."" - @naval"
98,"""The secret to public speaking is to speak as if you were alone."" - @naval"
99,"""Twitter is a way to broadcast messages to hundreds of millions of people to find the few dozen that you actually want to talk to."" - @naval"
